"meta_id","post_id","meta_key","meta_value"
"1","2","_wp_page_template","default"
"2","3","_wp_page_template","default"
"3","2","_edit_lock","1698982688:1"
"4","3","_wp_trash_meta_status","draft"
"5","3","_wp_trash_meta_time","1698982846"
"6","3","_wp_desired_post_slug","privacy-policy"
"7","2","_wp_trash_meta_status","publish"
"8","2","_wp_trash_meta_time","1698982846"
"9","2","_wp_desired_post_slug","sample-page"
"10","8","_edit_lock","1698982726:1"
"11","10","_wp_attached_file","woocommerce-placeholder.png"
"12","10","_wp_attachment_metadata","a:6:{s:5:""width"";i:1200;s:6:""height"";i:1200;s:4:""file"";s:27:""woocommerce-placeholder.png"";s:8:""filesize"";i:102644;s:5:""sizes"";a:7:{s:21:""woocommerce_thumbnail"";a:6:{s:4:""file"";s:35:""woocommerce-placeholder-300x300.png"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:12560;s:9:""uncropped"";b:0;}s:29:""woocommerce_gallery_thumbnail"";a:5:{s:4:""file"";s:35:""woocommerce-placeholder-100x100.png"";s:5:""width"";i:100;s:6:""height"";i:100;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:2314;}s:18:""woocommerce_single"";a:5:{s:4:""file"";s:35:""woocommerce-placeholder-600x600.png"";s:5:""width"";i:600;s:6:""height"";i:600;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:40273;}s:6:""medium"";a:5:{s:4:""file"";s:35:""woocommerce-placeholder-300x300.png"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:12560;}s:5:""large"";a:5:{s:4:""file"";s:37:""woocommerce-placeholder-1024x1024.png"";s:5:""width"";i:1024;s:6:""height"";i:1024;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:144462;}s:9:""thumbnail"";a:5:{s:4:""file"";s:35:""woocommerce-placeholder-150x150.png"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:4228;}s:12:""medium_large"";a:5:{s:4:""file"";s:35:""woocommerce-placeholder-768x768.png"";s:5:""width"";i:768;s:6:""height"";i:768;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:67801;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
"13","16","_form","<label> Your name
    [text* your-name autocomplete:name] </label>

<label> Your email
    [email* your-email autocomplete:email] </label>

<label> Subject
    [text* your-subject] </label>

<label> Your message (optional)
    [textarea your-message] </label>

[submit ""Submit""]"
"14","16","_mail","a:8:{s:7:""subject"";s:30:""[_site_title] ""[your-subject]"""";s:6:""sender"";s:39:""[_site_title] <wordpress@137.184.5.121>"";s:4:""body"";s:191:""From: [your-name] [your-email]
Subject: [your-subject]

Message Body:
[your-message]

-- 
This is a notification that a contact form was submitted on your website ([_site_title] [_site_url])."";s:9:""recipient"";s:19:""[_site_admin_email]"";s:18:""additional_headers"";s:22:""Reply-To: [your-email]"";s:11:""attachments"";s:0:"""";s:8:""use_html"";i:0;s:13:""exclude_blank"";i:0;}"
"15","16","_mail_2","a:9:{s:6:""active"";b:0;s:7:""subject"";s:30:""[_site_title] ""[your-subject]"""";s:6:""sender"";s:39:""[_site_title] <wordpress@137.184.5.121>"";s:4:""body"";s:220:""Message Body:
[your-message]

-- 
This email is a receipt for your contact form submission on our website ([_site_title] [_site_url]) in which your email address was used. If that was not you, please ignore this message."";s:9:""recipient"";s:12:""[your-email]"";s:18:""additional_headers"";s:29:""Reply-To: [_site_admin_email]"";s:11:""attachments"";s:0:"""";s:8:""use_html"";i:0;s:13:""exclude_blank"";i:0;}"
"16","16","_messages","a:12:{s:12:""mail_sent_ok"";s:45:""Thank you for your message. It has been sent."";s:12:""mail_sent_ng"";s:71:""There was an error trying to send your message. Please try again later."";s:16:""validation_error"";s:61:""One or more fields have an error. Please check and try again."";s:4:""spam"";s:71:""There was an error trying to send your message. Please try again later."";s:12:""accept_terms"";s:69:""You must accept the terms and conditions before sending your message."";s:16:""invalid_required"";s:27:""Please fill out this field."";s:16:""invalid_too_long"";s:32:""This field has a too long input."";s:17:""invalid_too_short"";s:33:""This field has a too short input."";s:13:""upload_failed"";s:46:""There was an unknown error uploading the file."";s:24:""upload_file_type_invalid"";s:49:""You are not allowed to upload files of this type."";s:21:""upload_file_too_large"";s:31:""The uploaded file is too large."";s:23:""upload_failed_php_error"";s:38:""There was an error uploading the file."";}"
"17","16","_additional_settings",
"18","16","_locale","en_US"
"19","16","_hash","56bb2dcb113e0a0d2e7d15f5acae85b0d5b5d362"
"20","17","_elementor_edit_mode","builder"
"21","17","_elementor_template_type","kit"
"22","19","_wp_attached_file","2018/10/blog-single-img-1.jpg"
"23","19","_wp_attachment_metadata","a:6:{s:5:""width"";i:840;s:6:""height"";i:500;s:4:""file"";s:29:""2018/10/blog-single-img-1.jpg"";s:8:""filesize"";i:51779;s:5:""sizes"";a:6:{s:21:""woocommerce_thumbnail"";a:6:{s:4:""file"";s:29:""blog-single-img-1-300x300.jpg"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:16201;s:9:""uncropped"";b:0;}s:29:""woocommerce_gallery_thumbnail"";a:5:{s:4:""file"";s:29:""blog-single-img-1-100x100.jpg"";s:5:""width"";i:100;s:6:""height"";i:100;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:3375;}s:18:""woocommerce_single"";a:5:{s:4:""file"";s:29:""blog-single-img-1-600x357.jpg"";s:5:""width"";i:600;s:6:""height"";i:357;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:32156;}s:6:""medium"";a:5:{s:4:""file"";s:29:""blog-single-img-1-300x179.jpg"";s:5:""width"";i:300;s:6:""height"";i:179;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:11285;}s:9:""thumbnail"";a:5:{s:4:""file"";s:29:""blog-single-img-1-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:5805;}s:12:""medium_large"";a:5:{s:4:""file"";s:29:""blog-single-img-1-768x457.jpg"";s:5:""width"";i:768;s:6:""height"";i:457;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:46538;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
"26","20","_wp_attached_file","2018/10/blog-single-img-2.jpg"
