"term_taxonomy_id","term_id","taxonomy","description","parent","count"
"1","1","category",,"0","0"
"2","2","product_type",,"0","7"
"3","3","product_type",,"0","0"
"4","4","product_type",,"0","0"
"5","5","product_type",,"0","0"
"6","6","product_visibility",,"0","0"
"7","7","product_visibility",,"0","0"
"8","8","product_visibility",,"0","0"
"9","9","product_visibility",,"0","1"
"10","10","product_visibility",,"0","0"
"11","11","product_visibility",,"0","0"
"12","12","product_visibility",,"0","0"
"13","13","product_visibility",,"0","0"
"14","14","product_visibility",,"0","1"
"15","15","product_cat",,"0","0"
"16","16","category",,"0","5"
"17","17","category",,"0","8"
"18","18","category",,"0","9"
"19","19","category",,"0","7"
"20","20","category",,"0","6"
"21","21","post_tag",,"0","2"
"22","22","post_tag",,"0","5"
"23","23","post_tag",,"0","11"
"24","24","post_tag",,"0","1"
"25","25","post_tag",,"0","1"
"26","26","post_tag",,"0","1"
"27","27","post_tag",,"0","1"
"28","28","post_tag",,"0","1"
"29","29","post_tag",,"0","4"
"30","30","product_tag",,"0","0"
"31","31","product_cat",,"0","0"
"32","32","pa_color",,"0","1"
"33","33","product_tag",,"0","6"
"34","34","product_cat",,"0","0"
"35","35","product_tag",,"0","6"
"36","36","product_cat",,"0","6"
"37","37","pa_color",,"0","1"
"38","38","elementor_library_type",,"0","2"
"39","39","pa_color",,"0","0"
"40","40","elementor_library_type",,"0","0"
"41","41","product_cat",,"0","7"
"42","42","product_tag",,"0","2"
"43","43","product_cat",,"0","0"
"44","44","pa_color",,"0","1"
"45","45","product_cat",,"0","2"
"46","46","product_tag",,"0","2"
"48","48","nav_menu",,"0","6"
"49","49","nav_menu",,"0","2"
"50","50","nav_menu",,"0","0"
"51","51","nav_menu",,"0","0"
