"term_id","name","slug","term_group"
"1","Uncategorized","uncategorized","0"
"2","simple","simple","0"
"3","grouped","grouped","0"
"4","variable","variable","0"
"5","external","external","0"
"6","exclude-from-search","exclude-from-search","0"
"7","exclude-from-catalog","exclude-from-catalog","0"
"8","featured","featured","0"
"9","outofstock","outofstock","0"
"10","rated-1","rated-1","0"
"11","rated-2","rated-2","0"
"12","rated-3","rated-3","0"
"13","rated-4","rated-4","0"
"14","rated-5","rated-5","0"
"15","Uncategorized","uncategorized","0"
"16","Editorial","editorial","0"
"17","Fashion","fashion","0"
"18","Life Style","life-style","0"
"19","Lookbook","lookbook","0"
"20","Trending","trending","0"
"21","baby","baby","0"
"22","beauty","beauty","0"
"23","fashion","fashion","0"
"24","feeling","feeling","0"
"25","man","man","0"
"26","spring","spring","0"
"27","street style","street-style","0"
"28","summer","summer","0"
"29","woostify","woostify","0"
"30","autumn","autumn","0"
"31","Bags","bags","0"
"32","Black","black","0"
"33","fashion","fashion","0"
"34","Hats","hats","0"
"35","man","man","0"
"36","Man","man","0"
"37","Orange","orange","0"
"38","page","page","0"
"39","Red","red","0"
"40","section","section","0"
"41","Shoes","shoes","0"
"42","summer","summer","0"
"43","T-Shirts","t-shirts","0"
"44","White","white","0"
"45","womens","womens","0"
"46","womens","womens","0"
"48","Header Primary","header-primary","0"
"49","Mega menu","mega-menu","0"
"50","Shop","shop","0"
"51","Support","support","0"
