"umeta_id","user_id","meta_key","meta_value"
"1","1","nickname","admin"
"2","1","first_name",
"3","1","last_name",
"4","1","description",
"5","1","rich_editing","true"
"6","1","syntax_highlighting","true"
"7","1","comment_shortcuts","false"
"8","1","admin_color","fresh"
"9","1","use_ssl","0"
"10","1","show_admin_bar_front","true"
"11","1","locale",
"12","1","wp_capabilities","a:1:{s:13:""administrator"";b:1;}"
"13","1","wp_user_level","10"
"14","1","dismissed_wp_pointers",
"15","1","show_welcome_panel","1"
"16","1","session_tokens","a:5:{s:64:""5a098ca9720eef3f1655d387d3770c0e339ffc6ceca0badbfb9c9dc1005b111a"";a:4:{s:10:""expiration"";i:1699154326;s:2:""ip"";s:13:""187.136.4.138"";s:2:""ua"";s:111:""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"";s:5:""login"";i:1698981526;}s:64:""bedceee5cd309319b1cf1b31efb6f36cc7f8daeaf4f07a4b8c49846e08b066af"";a:4:{s:10:""expiration"";i:1699155408;s:2:""ip"";s:14:""187.189.68.120"";s:2:""ua"";s:111:""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36"";s:5:""login"";i:1698982608;}s:64:""e167f826b50b30003699c59f5491ae1874e046b4edb33b93cc229647ed9d369f"";a:4:{s:10:""expiration"";i:1699155614;s:2:""ip"";s:14:""187.189.68.120"";s:2:""ua"";s:111:""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"";s:5:""login"";i:1698982814;}s:64:""37bbe9f35e85046e5d8d7442a98cc277da5c087bada278129b13cf48ac3b2bae"";a:4:{s:10:""expiration"";i:1699200541;s:2:""ip"";s:13:""187.136.3.209"";s:2:""ua"";s:111:""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"";s:5:""login"";i:1699027741;}s:64:""8117ad648390420febcb06e4d44975f43f098acbb6af8859841c6633375882bc"";a:4:{s:10:""expiration"";i:1699203826;s:2:""ip"";s:14:""187.189.68.120"";s:2:""ua"";s:111:""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"";s:5:""login"";i:1699031026;}}"
"17","1","wp_dashboard_quick_press_last_post_id","5"
"18","1","community-events-location","a:1:{s:2:""ip"";s:11:""187.136.3.0"";}"
"19","1","wp_persisted_preferences","a:3:{s:14:""core/edit-post"";a:3:{s:26:""isComplementaryAreaVisible"";b:0;s:12:""welcomeGuide"";b:0;s:10:""editorMode"";s:6:""visual"";}s:9:""_modified"";s:24:""2023-11-03T20:18:20.582Z"";s:22:""core/customize-widgets"";a:1:{s:12:""welcomeGuide"";b:0;}}"
"20","1","_woocommerce_tracks_anon_id","woo:1fr0Hl3KCva1iZuq1pokZCXZ"
"21","1","wc_last_active","1699056000"
"22","1","elementor_introduction","a:2:{s:27:""ai-get-started-announcement"";b:1;s:20:""globals_introduction"";b:1;}"
"23","1","wp_user-settings","editor=tinymce&libraryContent=browse&posts_list_mode=list"
"24","1","wp_user-settings-time","1699052813"
"25","1","meta-box-order_product","a:3:{s:4:""side"";s:84:""submitdiv,postimagediv,woocommerce-product-images,product_catdiv,tagsdiv-product_tag"";s:6:""normal"";s:55:""woocommerce-product-data,postcustom,slugdiv,postexcerpt"";s:8:""advanced"";s:0:"""";}"
"27","1","_woocommerce_persistent_cart_1","a:1:{s:4:""cart"";a:0:{}}"
"29","1","last_update","1699042701"
"30","1","wp_elementor_connect_common_data","a:3:{s:9:""client_id"";s:32:""UFSEbW5gtDojj4q8MyJnrkugVccWFGPL"";s:11:""auth_secret"";s:32:""X0yd90CZjzy0Hlx7lvtTMreGbxQ8IFIv"";s:5:""state"";s:12:""GMy5xK01HWNS"";}"
"31","1","nav_menu_recently_edited","48"
"32","1","managenav-menuscolumnshidden","a:5:{i:0;s:11:""link-target"";i:1;s:11:""css-classes"";i:2;s:3:""xfn"";i:3;s:11:""description"";i:4;s:15:""title-attribute"";}"
"33","1","metaboxhidden_nav-menus","a:6:{i:0;s:28:""add-post-type-e-landing-page"";i:1;s:21:""add-post-type-product"";i:2;s:12:""add-post_tag"";i:3;s:15:""add-post_format"";i:4;s:15:""add-product_cat"";i:5;s:15:""add-product_tag"";}"
"34","1","closedpostboxes_product","a:0:{}"
"35","1","metaboxhidden_product","a:2:{i:0;s:10:""postcustom"";i:1;s:7:""slugdiv"";}"
