"action_id","note_id","name","label","query","status","actioned_text","nonce_action","nonce_name"
"26","22","notify-refund-returns-page","Edit page","http://137.184.5.121/trabajo/wp-admin/post.php?post=15&action=edit","actioned",,NULL,NULL
"184","62","connect","Connect","?page=wc-addons&section=helper","unactioned",,NULL,NULL
"731","63","visit-the-theme-marketplace","Visit the theme marketplace","https://woocommerce.com/product-category/themes/?utm_source=inbox&utm_medium=product","actioned",,NULL,NULL
"732","64","day-after-first-product","Learn more","https://woocommerce.com/document/woocommerce-customizer/?utm_source=inbox&utm_medium=product","actioned",,NULL,NULL
"733","1","wayflyer_bnpl_q4_2021","Level up with funding","https://woo.com/products/wayflyer/?utm_source=inbox_note&utm_medium=product&utm_campaign=wayflyer_bnpl_q4_2021","actioned",,NULL,NULL
"734","2","wc_shipping_mobile_app_usps_q4_2021","Get WooCommerce Shipping","https://woo.com/woocommerce-shipping/?utm_source=inbox_note&utm_medium=product&utm_campaign=wc_shipping_mobile_app_usps_q4_2021","actioned",,NULL,NULL
"735","3","learn-more","Learn more","https://docs.woocommerce.com/document/woocommerce-shipping-and-tax/?utm_source=inbox","unactioned",,NULL,NULL
"736","4","learn-more","Learn more","https://woo.com/posts/ecommerce-shipping-solutions-guide/?utm_source=inbox_note&utm_medium=product&utm_campaign=learn-more","actioned",,NULL,NULL
"737","5","optimizing-the-checkout-flow","Learn more","https://woo.com/posts/optimizing-woocommerce-checkout?utm_source=inbox_note&utm_medium=product&utm_campaign=optimizing-the-checkout-flow","actioned",,NULL,NULL
"738","6","qualitative-feedback-from-new-users","Share feedback","https://automattic.survey.fm/wc-pay-new","actioned",,NULL,NULL
"739","7","share-feedback","Share feedback","http://automattic.survey.fm/paypal-feedback","unactioned",,NULL,NULL
"740","8","get-started","Get started","https://woo.com/products/google-listings-and-ads?utm_source=inbox_note&utm_medium=product&utm_campaign=get-started","actioned",,NULL,NULL
"741","9","update-wc-subscriptions-3-0-15","View latest version","http://137.184.5.121/trabajo/wp-admin/&page=wc-addons&section=helper","actioned",,NULL,NULL
"742","10","update-wc-core-5-4-0","How to update WooCommerce","https://docs.woocommerce.com/document/how-to-update-woocommerce/","actioned",,NULL,NULL
"743","13","ppxo-pps-install-paypal-payments-1","View upgrade guide","https://docs.woocommerce.com/document/woocommerce-paypal-payments/paypal-payments-upgrade-guide/","actioned",,NULL,NULL
"744","14","ppxo-pps-install-paypal-payments-2","View upgrade guide","https://docs.woocommerce.com/document/woocommerce-paypal-payments/paypal-payments-upgrade-guide/","actioned",,NULL,NULL
"745","15","learn-more","Learn more","https://woo.com/posts/critical-vulnerability-detected-july-2021/?utm_source=inbox_note&utm_medium=product&utm_campaign=learn-more","unactioned",,NULL,NULL
"746","15","dismiss","Dismiss",,"actioned",,NULL,NULL
